Input Density,Actual Density,Throughput
0.0,0.0,0
0.02040816326530612,0.0,0
0.04081632653061224,0.0,0
0.061224489795918366,2.5,12
0.08163265306122448,2.5,7
0.1020408163265306,5.0,33
0.12244897959183673,5.0,17
0.14285714285714285,7.5,18
0.16326530612244897,7.5,17
0.18367346938775508,10.0,45
0.2040816326530612,10.0,42
0.22448979591836732,12.5,39
0.24489795918367346,12.5,50
0.26530612244897955,15.0,45
0.2857142857142857,15.0,64
0.3061224489795918,17.5,79
0.32653061224489793,16.25,81
0.3469387755102041,18.75,107
0.36734693877551017,16.25,86
0.3877551020408163,22.5,74
0.4081632653061224,13.75,42
0.42857142857142855,25.0,88
0.44897959183673464,17.5,61
0.4693877551020408,25.0,103
0.4897959183673469,17.5,78
0.5102040816326531,28.75,122
0.5306122448979591,15.0,84
0.5510204081632653,25.0,102
0.5714285714285714,20.0,72
0.5918367346938775,31.25,135
0.6122448979591836,10.0,45
0.6326530612244897,30.0,118
0.6530612244897959,20.0,77
0.673469387755102,27.5,111
0.6938775510204082,21.25,93
0.7142857142857142,30.0,110
0.7346938775510203,17.5,99
0.7551020408163265,31.25,142
0.7755102040816326,17.5,69
0.7959183673469387,36.25,137
0.8163265306122448,11.25,39
0.836734693877551,42.5,97
0.8571428571428571,11.25,52
0.8775510204081632,43.75,107
0.8979591836734693,11.25,61
0.9183673469387754,45.0,103
0.9387755102040816,7.5,31
0.9591836734693877,46.25,101
0.9795918367346939,7.5,14
1.0,47.5,113
